伝票番号,購入日時,店舗,顧客ID,商品カテゴリ,商品名,単価,数量,合計購入金額,決済方法
INV-14696,2025-01-04,さいたま店,C-228,加工食品,特製ドレッシング,621,1,621,現金
INV-15756,2025-01-04,ECサイト,C-165,日用雑貨,抗菌洗剤セット,891,1,891,QR決済
INV-14692,2025-01-04,千葉店,C-215,飲料・酒類,高級赤ワイン,1658,1,1658,QR決済
INV-14257,2025-01-04,千葉店,C-245,家庭用品,電動歯ブラシ,6107,1,6107,クレジットカード
INV-10869,2025-01-04,ECサイト,C-006,日用雑貨,キッチンペーパー,1133,1,1133,電子マネー
INV-10090,2025-01-04,東京本店,C-133,加工食品,レトルトカレー,342,1,342,現金
INV-14873,2025-01-05,横浜店,C-002,家庭用品,セラミックフライパン,3266,1,3266,QR決済
INV-11982,2025-01-05,千葉店,C-266,生鮮食品,朝採れ野菜セット,2626,2,5252,クレジットカード
INV-16571,2025-01-05,ECサイト,C-069,生鮮食品,朝採れ野菜セット,2295,1,2295,現金
INV-10304,2025-01-05,東京本店,C-165,家庭用品,セラミックフライパン,2462,1,2462,QR決済
INV-10740,2025-01-05,横浜店,C-213,飲料・酒類,クラフトビール6缶パック,2718,2,5436,QR決済
INV-19439,2025-01-05,横浜店,C-128,生鮮食品,季節のフルーツ盛,1925,1,1925,クレジットカード
INV-19643,2025-01-05,千葉店,C-236,生鮮食品,朝採れ野菜セット,2877,1,2877,現金
INV-19257,2025-01-05,横浜店,C-224,加工食品,特製ドレッシング,640,1,640,電子マネー
INV-16929,2025-01-05,さいたま店,C-109,家庭用品,LED電球,2272,1,2272,クレジットカード
INV-16542,2025-01-05,千葉店,C-299,飲料・酒類,ミネラルウォーター,3155,1,3155,QR決済
INV-14564,2025-01-05,東京本店,C-158,家庭用品,電動歯ブラシ,6430,2,12860,QR決済
INV-14386,2025-01-05,横浜店,C-205,加工食品,パスタソース,312,1,312,電子マネー
INV-19234,2025-01-05,横浜店,C-027,加工食品,レトルトカレー,390,2,780,クレジットカード
INV-17483,2025-01-05,横浜店,C-017,家庭用品,セラミックフライパン,7037,1,7037,クレジットカード
INV-11754,2025-01-05,さいたま店,C-083,飲料・酒類,ミネラルウォーター,3505,3,10515,電子マネー
INV-10235,2025-01-05,千葉店,C-204,日用雑貨,高機能マスク,878,1,878,QR決済
INV-11897,2025-01-05,ECサイト,C-122,加工食品,レトルトカレー,520,4,2080,QR決済
INV-15425,2025-01-05,ECサイト,C-137,日用雑貨,キッチンペーパー,1289,1,1289,電子マネー
INV-18358,2025-01-05,さいたま店,C-277,加工食品,パスタソース,486,5,2430,電子マネー
INV-16439,2025-01-05,ECサイト,C-218,家庭用品,セラミックフライパン,7900,3,23700,QR決済
INV-11796,2025-01-05,千葉店,C-032,生鮮食品,季節のフルーツ盛,2479,1,2479,現金
INV-14989,2025-01-05,東京本店,C-163,飲料・酒類,高級赤ワイン,4665,1,4665,現金
INV-13101,2025-01-05,横浜店,C-224,飲料・酒類,クラフトビール6缶パック,3825,3,11475,QR決済
INV-19653,2025-01-05,横浜店,C-283,家庭用品,セラミックフライパン,6648,1,6648,クレジットカード
INV-13961,2025-01-05,横浜店,C-278,飲料・酒類,ミネラルウォーター,1299,1,1299,電子マネー
INV-17858,2025-01-05,横浜店,C-250,家庭用品,LED電球,7305,1,7305,クレジットカード
INV-18939,2025-01-05,横浜店,C-041,日用雑貨,キッチンペーパー,1443,1,1443,QR決済
INV-11095,2025-01-05,千葉店,C-193,飲料・酒類,高級赤ワイン,1645,3,4935,電子マネー
INV-13952,2025-01-05,横浜店,C-114,生鮮食品,朝採れ野菜セット,1947,1,1947,クレジットカード
INV-18676,2025-01-05,東京本店,C-150,加工食品,パスタソース,377,1,377,電子マネー
INV-18873,2025-01-05,ECサイト,C-091,生鮮食品,国産牛サーロイン,1760,3,5280,電子マネー
INV-12726,2025-01-05,横浜店,C-283,加工食品,パスタソース,694,1,694,QR決済
INV-15987,2025-01-05,ECサイト,C-259,生鮮食品,朝採れ野菜セット,1536,2,3072,クレジットカード
INV-15221,2025-01-05,ECサイト,C-236,生鮮食品,朝採れ野菜セット,1238,1,1238,QR決済
INV-12848,2025-01-05,さいたま店,C-088,飲料・酒類,高級赤ワイン,2076,1,2076,クレジットカード
INV-13282,2025-01-05,さいたま店,C-241,生鮮食品,季節のフルーツ盛,1444,2,2888,電子マネー
INV-17246,2025-01-05,千葉店,C-288,飲料・酒類,クラフトビール6缶パック,1978,1,1978,クレジットカード
INV-11350,2025-01-05,東京本店,C-035,日用雑貨,抗菌洗剤セット,955,1,955,現金
INV-13214,2025-01-05,東京本店,C-143,家庭用品,セラミックフライパン,5412,2,10824,電子マネー
INV-16816,2025-01-05,さいたま店,C-026,家庭用品,LED電球,2295,3,6885,QR決済
INV-10442,2025-01-05,東京本店,C-036,生鮮食品,朝採れ野菜セット,1379,2,2758,QR決済
INV-17743,2025-01-05,東京本店,C-219,日用雑貨,キッチンペーパー,1024,1,1024,クレジットカード
INV-18564,2025-01-05,横浜店,C-037,日用雑貨,キッチンペーパー,1212,2,2424,電子マネー
INV-19239,2025-01-06,千葉店,C-160,生鮮食品,国産牛サーロイン,2383,1,2383,電子マネー
INV-16059,2025-01-06,さいたま店,C-176,飲料・酒類,高級赤ワイン,3280,1,3280,QR決済
INV-10095,2025-01-06,横浜店,C-160,加工食品,パスタソース,549,1,549,クレジットカード
INV-16751,2025-01-06,さいたま店,C-203,飲料・酒類,高級赤ワイン,2709,1,2709,QR決済
INV-11363,2025-01-06,さいたま店,C-171,加工食品,パスタソース,356,1,356,電子マネー
INV-12333,2025-01-06,千葉店,C-244,飲料・酒類,クラフトビール6缶パック,3456,1,3456,電子マネー
INV-15367,2025-01-06,東京本店,C-100,家庭用品,LED電球,7277,1,7277,QR決済
INV-10338,2025-01-06,ECサイト,C-200,飲料・酒類,高級赤ワイン,3779,1,3779,現金
INV-11467,2025-01-06,横浜店,C-176,日用雑貨,キッチンペーパー,1403,1,1403,電子マネー
INV-10641,2025-01-06,東京本店,C-247,飲料・酒類,クラフトビール6缶パック,3090,1,3090,電子マネー
INV-14925,2025-01-06,さいたま店,C-206,飲料・酒類,クラフトビール6缶パック,2090,2,4180,電子マネー
INV-11133,2025-01-06,ECサイト,C-162,飲料・酒類,高級赤ワイン,3183,2,6366,QR決済
INV-19792,2025-01-06,横浜店,C-006,加工食品,特製ドレッシング,757,2,1514,クレジットカード
INV-15413,2025-01-06,横浜店,C-251,日用雑貨,キッチンペーパー,954,1,954,電子マネー
INV-12916,2025-01-06,さいたま店,C-142,生鮮食品,朝採れ野菜セット,1961,1,1961,電子マネー
INV-17608,2025-01-06,さいたま店,C-099,加工食品,パスタソース,344,1,344,電子マネー
INV-16646,2025-01-06,千葉店,C-023,家庭用品,電動歯ブラシ,5099,5,25495,クレジットカード
INV-16166,2025-01-06,ECサイト,C-147,日用雑貨,キッチンペーパー,692,1,692,現金
INV-18857,2025-01-06,横浜店,C-204,生鮮食品,季節のフルーツ盛,2006,2,4012,電子マネー
INV-13139,2025-01-06,千葉店,C-136,飲料・酒類,ミネラルウォーター,828,5,4140,電子マネー
INV-12496,2025-01-06,東京本店,C-205,生鮮食品,季節のフルーツ盛,1246,2,2492,現金
INV-15532,2025-01-06,横浜店,C-019,加工食品,レトルトカレー,550,1,550,QR決済
INV-18157,2025-01-06,千葉店,C-026,家庭用品,セラミックフライパン,5819,1,5819,QR決済
INV-13332,2025-01-06,横浜店,C-069,家庭用品,電動歯ブラシ,7613,4,30452,QR決済
INV-15171,2025-01-06,さいたま店,C-185,日用雑貨,抗菌洗剤セット,440,1,440,電子マネー
INV-12096,2025-01-06,さいたま店,C-151,日用雑貨,抗菌洗剤セット,1356,1,1356,QR決済
INV-19840,2025-01-06,横浜店,C-177,加工食品,レトルトカレー,495,3,1485,クレジットカード
INV-11699,2025-01-06,東京本店,C-063,飲料・酒類,ミネラルウォーター,3881,1,3881,現金
INV-18480,2025-01-06,千葉店,C-278,生鮮食品,国産牛サーロイン,2248,3,6744,QR決済
INV-13049,2025-01-06,横浜店,C-155,家庭用品,電動歯ブラシ,7642,2,15284,QR決済
INV-11525,2025-01-06,東京本店,C-152,加工食品,特製ドレッシング,688,4,2752,現金
INV-17077,2025-01-06,東京本店,C-028,家庭用品,LED電球,3615,2,7230,QR決済
INV-18469,2025-01-06,東京本店,C-273,生鮮食品,季節のフルーツ盛,2944,3,8832,現金
INV-15197,2025-01-06,ECサイト,C-040,家庭用品,セラミックフライパン,4808,1,4808,QR決済
INV-18095,2025-01-07,千葉店,C-033,生鮮食品,朝採れ野菜セット,1759,1,1759,電子マネー
INV-12234,2025-01-07,ECサイト,C-288,日用雑貨,キッチンペーパー,732,4,2928,QR決済
INV-17706,2025-01-07,さいたま店,C-104,生鮮食品,国産牛サーロイン,2656,1,2656,現金
INV-17772,2025-01-07,東京本店,C-010,日用雑貨,キッチンペーパー,1045,1,1045,クレジットカード
INV-10259,2025-01-07,東京本店,C-242,日用雑貨,抗菌洗剤セット,1086,2,2172,QR決済
INV-18234,2025-01-07,ECサイト,C-105,加工食品,特製ドレッシング,402,1,402,現金
INV-12715,2025-01-07,さいたま店,C-092,日用雑貨,抗菌洗剤セット,619,2,1238,QR決済
INV-19961,2025-01-07,さいたま店,C-049,家庭用品,電動歯ブラシ,7030,2,14060,現金
INV-18423,2025-01-07,東京本店,C-006,加工食品,特製ドレッシング,600,1,600,電子マネー
INV-17394,2025-01-07,ECサイト,C-277,家庭用品,セラミックフライパン,6329,1,6329,QR決済
INV-12983,2025-01-07,東京本店,C-161,家庭用品,LED電球,3026,2,6052,クレジットカード
INV-12042,2025-01-07,東京本店,C-093,日用雑貨,抗菌洗剤セット,653,2,1306,クレジットカード
INV-17703,2025-01-07,さいたま店,C-146,日用雑貨,高機能マスク,776,5,3880,現金
INV-15950,2025-01-07,さいたま店,C-148,家庭用品,電動歯ブラシ,5621,1,5621,現金
INV-16910,2025-01-07,千葉店,C-225,日用雑貨,キッチンペーパー,1217,1,1217,QR決済
INV-17774,2025-01-07,千葉店,C-051,飲料・酒類,ミネラルウォーター,2138,1,2138,QR決済
INV-19291,2025-01-07,さいたま店,C-292,生鮮食品,朝採れ野菜セット,1828,1,1828,クレジットカード
INV-18307,2025-01-07,東京本店,C-281,家庭用品,電動歯ブラシ,2035,1,2035,現金
INV-11730,2025-01-07,ECサイト,C-271,飲料・酒類,クラフトビール6缶パック,4600,1,4600,QR決済
INV-17317,2025-01-07,さいたま店,C-202,日用雑貨,高機能マスク,1438,1,1438,電子マネー
INV-17757,2025-01-07,横浜店,C-172,日用雑貨,高機能マスク,1109,1,1109,QR決済
INV-12649,2025-01-07,横浜店,C-094,家庭用品,LED電球,4027,1,4027,QR決済
INV-15772,2025-01-07,ECサイト,C-174,加工食品,パスタソース,751,1,751,電子マネー
INV-13972,2025-01-07,ECサイト,C-046,飲料・酒類,クラフトビール6缶パック,2513,5,12565,電子マネー
INV-16673,2025-01-07,東京本店,C-275,日用雑貨,抗菌洗剤セット,1425,2,2850,クレジットカード
INV-17137,2025-01-07,ECサイト,C-001,飲料・酒類,クラフトビール6缶パック,2874,1,2874,電子マネー
INV-15390,2025-01-07,横浜店,C-212,加工食品,特製ドレッシング,711,1,711,QR決済
INV-12172,2025-01-08,ECサイト,C-196,生鮮食品,季節のフルーツ盛,1861,2,3722,QR決済
INV-12283,2025-01-08,千葉店,C-156,家庭用品,LED電球,3070,2,6140,現金
INV-13496,2025-01-08,横浜店,C-188,日用雑貨,抗菌洗剤セット,443,1,443,現金
INV-18460,2025-01-08,さいたま店,C-245,日用雑貨,高機能マスク,939,2,1878,クレジットカード
INV-12553,2025-01-08,千葉店,C-136,家庭用品,LED電球,6440,4,25760,電子マネー
INV-12505,2025-01-08,千葉店,C-168,家庭用品,電動歯ブラシ,6255,1,6255,電子マネー
INV-15226,2025-01-08,千葉店,C-187,日用雑貨,キッチンペーパー,635,3,1905,電子マネー
INV-16095,2025-01-08,東京本店,C-161,加工食品,特製ドレッシング,574,2,1148,クレジットカード
INV-13287,2025-01-08,千葉店,C-235,家庭用品,電動歯ブラシ,6313,1,6313,電子マネー
INV-13135,2025-01-08,千葉店,C-052,家庭用品,LED電球,5423,1,5423,QR決済
INV-16313,2025-01-08,千葉店,C-233,生鮮食品,朝採れ野菜セット,2555,2,5110,現金
INV-10011,2025-01-08,東京本店,C-109,飲料・酒類,高級赤ワイン,2394,1,2394,QR決済
INV-16710,2025-01-08,東京本店,C-006,生鮮食品,季節のフルーツ盛,1700,3,5100,クレジットカード
INV-14652,2025-01-08,千葉店,C-193,加工食品,パスタソース,646,1,646,電子マネー
INV-18829,2025-01-08,千葉店,C-178,飲料・酒類,ミネラルウォーター,4704,1,4704,電子マネー
INV-11259,2025-01-08,千葉店,C-267,加工食品,パスタソース,681,1,681,QR決済
INV-15218,2025-01-08,さいたま店,C-237,日用雑貨,高機能マスク,1366,1,1366,現金
INV-10133,2025-01-08,千葉店,C-182,加工食品,レトルトカレー,322,2,644,電子マネー
INV-12937,2025-01-08,東京本店,C-291,生鮮食品,朝採れ野菜セット,1710,2,3420,電子マネー
INV-14594,2025-01-08,東京本店,C-110,飲料・酒類,高級赤ワイン,3921,2,7842,現金
INV-16466,2025-01-08,東京本店,C-276,加工食品,特製ドレッシング,590,3,1770,現金
INV-15934,2025-01-08,東京本店,C-252,日用雑貨,抗菌洗剤セット,956,1,956,現金
INV-19480,2025-01-08,さいたま店,C-213,飲料・酒類,ミネラルウォーター,3000,3,9000,電子マネー
INV-16665,2025-01-08,さいたま店,C-158,加工食品,特製ドレッシング,343,3,1029,QR決済
INV-13454,2025-01-08,さいたま店,C-229,家庭用品,セラミックフライパン,2450,1,2450,電子マネー
INV-19222,2025-01-09,東京本店,C-199,家庭用品,セラミックフライパン,7362,1,7362,電子マネー
INV-10521,2025-01-09,横浜店,C-039,加工食品,特製ドレッシング,718,1,718,QR決済
INV-18620,2025-01-09,ECサイト,C-094,加工食品,レトルトカレー,711,1,711,電子マネー
INV-10719,2025-01-09,横浜店,C-082,飲料・酒類,高級赤ワイン,3673,3,11019,現金
INV-14857,2025-01-09,ECサイト,C-162,家庭用品,LED電球,4455,2,8910,クレジットカード
INV-15880,2025-01-09,横浜店,C-281,生鮮食品,朝採れ野菜セット,1502,3,4506,QR決済
INV-18559,2025-01-09,さいたま店,C-210,生鮮食品,国産牛サーロイン,1235,4,4940,現金
INV-19576,2025-01-09,千葉店,C-115,日用雑貨,キッチンペーパー,447,3,1341,電子マネー
INV-19441,2025-01-09,千葉店,C-031,加工食品,パスタソース,509,1,509,電子マネー
INV-11329,2025-01-09,ECサイト,C-047,生鮮食品,季節のフルーツ盛,2062,1,2062,QR決済
INV-15474,2025-01-09,さいたま店,C-077,飲料・酒類,高級赤ワイン,1356,3,4068,QR決済
INV-18735,2025-01-09,千葉店,C-014,加工食品,パスタソース,586,1,586,QR決済
INV-17676,2025-01-09,横浜店,C-025,生鮮食品,国産牛サーロイン,2230,2,4460,クレジットカード
INV-13667,2025-01-09,東京本店,C-286,日用雑貨,キッチンペーパー,445,4,1780,QR決済
INV-16525,2025-01-09,千葉店,C-141,家庭用品,LED電球,2187,1,2187,QR決済
INV-17961,2025-01-09,千葉店,C-263,飲料・酒類,クラフトビール6缶パック,3036,4,12144,現金
INV-19228,2025-01-09,さいたま店,C-095,飲料・酒類,クラフトビール6缶パック,4355,1,4355,クレジットカード
INV-18492,2025-01-09,横浜店,C-051,家庭用品,セラミックフライパン,4712,1,4712,現金
INV-12330,2025-01-09,さいたま店,C-248,加工食品,レトルトカレー,749,1,749,クレジットカード
INV-14845,2025-01-09,千葉店,C-242,日用雑貨,抗菌洗剤セット,500,3,1500,現金
INV-11117,2025-01-09,さいたま店,C-162,加工食品,特製ドレッシング,680,1,680,電子マネー
INV-16239,2025-01-09,さいたま店,C-206,加工食品,特製ドレッシング,391,1,391,電子マネー
INV-17175,2025-01-09,ECサイト,C-274,飲料・酒類,ミネラルウォーター,3835,1,3835,現金
INV-12307,2025-01-09,さいたま店,C-195,家庭用品,電動歯ブラシ,4744,2,9488,QR決済
INV-10475,2025-01-09,さいたま店,C-086,飲料・酒類,高級赤ワイン,3505,1,3505,QR決済
INV-15670,2025-01-10,横浜店,C-063,加工食品,レトルトカレー,518,3,1554,電子マネー
INV-15452,2025-01-10,横浜店,C-280,家庭用品,LED電球,3553,1,3553,現金
INV-10872,2025-01-10,さいたま店,C-076,生鮮食品,朝採れ野菜セット,2131,1,2131,現金
INV-17441,2025-01-10,東京本店,C-267,家庭用品,セラミックフライパン,2950,1,2950,現金
INV-19663,2025-01-10,千葉店,C-019,加工食品,レトルトカレー,556,2,1112,QR決済
INV-11472,2025-01-10,東京本店,C-098,生鮮食品,季節のフルーツ盛,1498,1,1498,電子マネー
INV-16576,2025-01-10,横浜店,C-254,加工食品,レトルトカレー,705,3,2115,クレジットカード
INV-19590,2025-01-10,ECサイト,C-155,家庭用品,LED電球,3809,2,7618,電子マネー
